genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
CDK11B|CDC2L1|P58|CDK11	CDK11B|CDK11B|DNAJC3,PDIA3,PSMD3,RAD23B|CDK19	CDK19,RAD23B,PDIA3,PSMD3,DNAJC3,CDK11B	NA	NA	176873	NA	1	NA
MMP23A|MMP21|MIFR	MMP23A|MMP21,MMP23A|MMP23B,MMP23A	MMP21,MMP23B,MMP23A	NA	NA	603320	NA	1	NA
CDK11A|CDC2L2	CDK11A|CDK11A	CDK11A	NA	NA	116951	NA	1	NA
NADK	NADK	NADK	NA	NA	611616	NA	1	NA
GNB1	GNB1	GNB1	NA	NA	139380	NA	1	NA
CALML6|CAGLP	CALML6|CALML6	CALML6	NA	NA	610171	NA	1	NA
GABRD|GEFSP5|EIG10|EJM7	GABRD|NA|NA|NA	GABRD	Epilepsy, idiopathic generalized, 10	Autosomal dominant	137163	613060	1	NA
GABRD|GEFSP5|EIG10|EJM7	GABRD|NA|NA|NA	GABRD	Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to	Autosomal dominant	137163	613060	1	NA
GABRD|GEFSP5|EIG10|EJM7	GABRD|NA|NA|NA	GABRD	Epilepsy, juvenile myoclonic, susceptibility to	Autosomal dominant	137163	613060	1	NA
PRKCZ|PKC2	PRKCZ|PRKCZ	PRKCZ	NA	NA	176982	NA	1	NA
C1orf86|FAAP20	C1orf86|C1orf86	C1orf86	NA	NA	615183	NA	1	NA
SKI|SGS	SKI|FBN1	SKI,FBN1	Shprintzen-Goldberg syndrome	Autosomal dominant	164780	182212	1	formerly mapped to 1q22-q24
DYT13	DYT13	DYT13	Dystonia 13, torsion	Autosomal dominant	607671	607671	1	NA
KONDS	NA	NA	Kondoh syndrome	Autosomal recessive	606242	606242	1	linked to rs966321 and rs1441834
PEX10|NALD|PBD6A|PBD6B	PEX10|NA|NA|NA	PEX10	Peroxisome biogenesis disorder 6B	Autosomal recessive	602859	614871	1	NA
PEX10|NALD|PBD6A|PBD6B	PEX10|NA|NA|NA	PEX10	Peroxisome biogenesis disorder 6A (Zellweger)	None	602859	614870	1	NA
PLCH2|PLCL4	PLCH2|PLCH2	PLCH2	NA	NA	612836	NA	1	NA
PANK4	PANK4	PANK4	NA	NA	606162	NA	1	NA
HES5	HES5	HES5	NA	NA	607348	NA	1	NA
TNFRSF14|HVEM|TR2	TNFRSF14|TNFRSF14|NR2C1,TAS1R2,TNFRSF14,TXNRD3	TNFRSF14,NR2C1,TXNRD3,TAS1R2	NA	NA	602746	NA	1	NA
ACTRT2|ARPT2|ARPM2	ACTRT2|NA|ACTRT2	ACTRT2	NA	NA	608535	NA	1	NA
PRDM16|MEL1|LVNC8|CMD1LL	PRDM16|PRDM16|NA|NA	PRDM16	Left ventricular noncompaction 8	Autosomal dominant	605557	615373	1	NA
PRDM16|MEL1|LVNC8|CMD1LL	PRDM16|PRDM16|NA|NA	PRDM16	Cardiomyopathy, dilated, 1LL	Autosomal dominant	605557	615373	1	NA
MEGF6|EGFL3	MEGF6|MEGF6	MEGF6	NA	NA	604266	NA	1	NA
MIR551A	MIR551A	MIR551A	NA	NA	615148	NA	1	NA
TPRG1L|FAM79A	TPRG1L|TPRG1L	TPRG1L	NA	NA	611460	NA	1	NA
WDR8	WRAP73	WRAP73	NA	NA	606040	NA	1	NA
TP73	TP73	TP73	?Neuroblastoma	None	601990	NA	1	imprinted
SMIM1|VEL	SMIM1|NA	SMIM1	Blood group, Vel system	Autosomal recessive	615242	615264	1	NA
CEP104|GLYBP|KIAA0562|JBTS25	CEP104|NA|CEP104|NA	CEP104	Joubert syndrome 25	Autosomal recessive	616690	616781	1	NA
DFFB|CAD|DFF2	DFFB|CAD,DFFB|NA	DFFB,CAD	NA	NA	601883	NA	1	NA
AJAP1|SHREW1	AJAP1|AJAP1	AJAP1	NA	NA	610972	NA	1	NA
DFNB96	DFNB96	DFNB96	Deafness, autosomal recessive 96	Autosomal recessive	614414	614414	1	between rs3817914 and rs477558
NPHP4|SLSN4	NPHP4|NPHP4	NPHP4	Nephronophthisis 4	Autosomal recessive	607215	606966	1	NA
NPHP4|SLSN4	NPHP4|NPHP4	NPHP4	Senior-Loken syndrome 4	Autosomal recessive	607215	606996	1	NA
KCNAB2|KCNA2B	KCNAB2|KCNAB2	KCNAB2	NA	NA	601142	NA	1	NA
CHD5	CHD5,CHD6,WRB	WRB,CHD5,CHD6	NA	NA	610771	NA	1	NA
RPL22|EAP	RPL22|RPL22	RPL22	NA	NA	180474	NA	1	fused with AML1 in t(3;21)
ICMT	ICMT	ICMT	NA	NA	605851	NA	1	NA
HES3	HES3	HES3	NA	NA	609971	NA	1	NA
GPR153	GPR153	GPR153	NA	NA	614269	NA	1	NA
ACOT7|BACH|LACH	ACOT7|ACOT7|NA	ACOT7	NA	NA	602587	NA	1	NA
HES2	HES2	HES2	NA	NA	609970	NA	1	NA
ESPN	ESPN	ESPN	Deafness, neurosensory, without vestibular involvement, autosomal dominant	None	606351	NA	1	NA
ESPN	ESPN	ESPN	Deafness, autosomal recessive 36	None	606351	609006	1	NA
TNFRSF25|TNFRSF12|DR3|LARD	TNFRSF25|TNFRSF25|TNFRSF25|TNFRSF25	TNFRSF25	NA	NA	603366	NA	1	NA
PLEKHG5|KIAA0720|DSMA4|CMTRIC	PLEKHG5|PLEKHG5|NA|NA	PLEKHG5	Spinal muscular atrophy, distal, autosomal recessive, 4	Autosomal recessive	611101	611067	1	NA
PLEKHG5|KIAA0720|DSMA4|CMTRIC	PLEKHG5|PLEKHG5|NA|NA	PLEKHG5	Charcot-Marie-Tooth disease, recessive intermediate C	Autosomal recessive	611101	615376	1	NA
TAS1R1|T1R1	TAS1R1|TAS1R1	TAS1R1	NA	NA	606225	NA	1	NA
ZBTB48|HKR3	ZBTB48|ZBTB48	ZBTB48	NA	NA	165270	NA	1	NA
KLHL21|KIAA0469	KLHL21|KLHL21	KLHL21	NA	NA	616262	NA	1	NA
THAP3	THAP3	THAP3	NA	NA	612532	NA	1	NA
DNAJC11	DNAJC11	DNAJC11	NA	NA	614827	NA	1	NA
CAMTA1|KIAA0833|CANPMR	CAMTA1|CAMTA1|NA	CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation	Autosomal dominant	611501	614756	1	NA
GLC3B	GLC3B	GLC3B	Glaucoma 3, primary infantile, B	Autosomal recessive	600975	600975	1	NA
SCZD12	NA	NA	Schizophrenia 12	Autosomal dominant	608543	181500	1	max lod at D1S1612
VAMP3	VAMP3	VAMP3	NA	NA	603657	NA	1	NA
UTS2	UTS2	UTS2	NA	NA	604097	NA	1	NA
TNFRSF9|ILA|CD137	TNFRSF9|TNFRSF9|TNFRSF9	TNFRSF9	NA	NA	602250	NA	1	NA
DJ1|PARK7	PARK7|PARK7	PARK7	Parkinson disease 7, autosomal recessive early-onset	Autosomal recessive	602533	606324	1	NA
MIG6|RALT	NA|ERRFI1	ERRFI1	NA	NA	608069	NA	1	NA
SLC45A1|DNB5	SLC45A1|SLC45A1	SLC45A1	NA	NA	605763	NA	1	NA
RERE	RERE	RERE	NA	NA	605226	NA	1	NA
ENO1|PPH|MPB1	ENO1|ENO1|ENO1	ENO1	Enolase deficiency	None	172430	NA	1	NA
CA6	CA6	CA6	NA	NA	114780	NA	1	NA
SLC2A7|GLUT7	SLC2A7|SLC2A7	SLC2A7	NA	NA	610371	NA	1	NA
SLC2A5|GLUT5	SLC2A5|SLC2A5	SLC2A5	NA	NA	138230	NA	1	NA
MIR34A|MIRN34A	MIR34A|MIR34A	MIR34A	NA	NA	611172	NA	1	NA
H6PD|GDH|G6PDH|CORTRD1	H6PD|CRYL1,GLUD1,H6PD|NA|NA	CRYL1,GLUD1,H6PD	Cortisone reductase deficiency 1	Autosomal recessive	138090	604931	1	digenic triallelic mutations with HSD11B1
SPSB|SSB1	NA|NABP2	NABP2	NA	NA	611657	NA	1	NA
SLC25A33	SLC25A33	SLC25A33	NA	NA	610816	NA	1	NA
PIK3CD|APDS|IMD14	PIK3CD|NA|NA	PIK3CD	Immunodeficiency 14	Autosomal dominant	602839	615513	1	NA
CLSTN1|KIAA0911	CLSTN1|CLSTN1	CLSTN1	NA	NA	611321	NA	1	NA
CTNNBIP1|ICAT	CTNNBIP1|CTNNBIP1	CTNNBIP1	NA	NA	607758	NA	1	NA
LZIC	LZIC	LZIC	NA	NA	610458	NA	1	NA
NMNAT1|NMNAT|PNAT1|LCA9	NMNAT1|NMNAT1|NMNAT1|NMNAT1	NMNAT1	Leber congenital amaurosis 9	Autosomal recessive	608700	608553	1	NA
UBE4B|UFD2A|KIAA0684	UBE4B|NA|UBE4B	UBE4B	NA	NA	613565	NA	1	NA
KIF1B|CMT2A|CMT2A1|NBLST1	KIF1B|KIF1B|NA|NA	KIF1B	?Charcot-Marie-Tooth disease, type 2A1	Autosomal dominant	605995	118210	1	mutation identified in 1 CMT2A1 family
KIF1B|CMT2A|CMT2A1|NBLST1	KIF1B|KIF1B|NA|NA	KIF1B	Neuroblastoma, susceptibility to, 1	Autosomal dominant; Isolated cases	605995	256700	1	mutation identified in 1 CMT2A1 family
KIF1B|CMT2A|CMT2A1|NBLST1	KIF1B|KIF1B|NA|NA	KIF1B	Pheochromocytoma	Autosomal dominant	605995	171300	1	mutation identified in 1 CMT2A1 family
PGD	PGD	PGD	NA	NA	172200	NA	1	NA
APITD1	APITD1	APITD1	NA	NA	609130	NA	1	NA
CORT	CORT	CORT	NA	NA	602784	NA	1	NA
DFFA|DFF1	DFFA|DFFA	DFFA	NA	NA	601882	NA	1	NA
PEX14|PBD13A	PEX14|NA	PEX14	Peroxisome biogenesis disorder 13A (Zellweger)	None	601791	614887	1	NA
CASZ1|SRG	CASZ1|CASZ1	CASZ1	NA	NA	609895	NA	1	NA
TARDBP|TDP43|ALS10	TARDBP|NA|TARDBP	TARDBP	Frontotemporal lobar degeneration, TARDBP-related	Autosomal dominant	605078	612069	1	pseudogenes on 2, 6, 8, 13, 20
TARDBP|TDP43|ALS10	TARDBP|NA|TARDBP	TARDBP	Amyotrophic lateral sclerosis 10, with or without FTD	Autosomal dominant	605078	612069	1	pseudogenes on 2, 6, 8, 13, 20
MASP2	MASP2	MASP2	MASP2 deficiency	None	605102	613791	1	NA
SRM|SPS1	SRM,SRMS|SEPHS1,SRM	SEPHS1,SRMS,SRM	NA	NA	182891	NA	1	?pseudogene on 3p14-q21
EXOSC10|PMSCL2	EXOSC10|EXOSC10	EXOSC10	NA	NA	605960	NA	1	NA
MTOR|FRAP1|SKS	MTOR|MTOR|NA	MTOR	Smith-Kingsmore syndrome	None	601231	616638	1	NA
UBIAD1|TERE1|SCCD	UBIAD1|UBIAD1|UBIAD1	UBIAD1	Corneal dystrophy, Schnyder type	Autosomal dominant	611632	121800	1	NA
PTCHD2|DISP3|KIAA1337	PTCHD2|PTCHD2|PTCHD2	PTCHD2	NA	NA	611251	NA	1	NA
FBXO2|FBX2|FBG1|NFB42	FBXO2|FBXO2|NA|NA	FBXO2	NA	NA	607112	NA	1	NA
FBXO44|FBX44|FBX6A|FBG3	FBXO44|NA|NA|FBXO44	FBXO44	NA	NA	609111	NA	1	NA
FBXO6|FBX6|FBG2	FBXO6|FBXO6|FBXO6	FBXO6	NA	NA	605647	NA	1	NA
MAD2L2|MAD2B	MAD2L2|MAD2L2	MAD2L2	NA	NA	604094	NA	1	pseudogene on 14q21-q23
DRAXIN|C1orf187	DRAXIN|DRAXIN	DRAXIN	NA	NA	612682	NA	1	NA
MTHFR	MTHFR	MTHFR	Neural tube defects, susceptibility to	Autosomal recessive	607093	601634	1	NA
MTHFR	MTHFR	MTHFR	Homocystinuria due to MTHFR deficiency	Autosomal recessive	607093	236250	1	NA
MTHFR	MTHFR	MTHFR	Vascular disease, susceptibility to	None	607093	NA	1	NA
MTHFR	MTHFR	MTHFR	Thromboembolism, susceptibility to	Autosomal dominant	607093	188050	1	NA
MTHFR	MTHFR	MTHFR	Schizophrenia, susceptibility to	Autosomal dominant	607093	181500	1	NA
CLCN6	CLCN6	CLCN6	NA	NA	602726	NA	1	NA
NPPA|PND|ANP|ATFB6|ATRST2	NPPA|NPPA|NPPA|NA|NA	NPPA	Atrial standstill 2	Autosomal recessive	108780	615745	1	NA
NPPA|PND|ANP|ATFB6|ATRST2	NPPA|NPPA|NPPA|NA|NA	NPPA	Atrial fibrillation, familial, 6	Autosomal dominant	108780	612201	1	NA
NPPB|BNP	NPPB|NA	NPPB	NA	NA	600295	NA	1	NA
PLOD1|LH1|LLH|EDS6	PLOD1|PLOD1|PLOD1|NA	PLOD1	Ehlers-Danlos syndrome, type VI	Autosomal recessive	153454	225400	1	NA
MFN2|KIAA0214|CMT2A2|HMSN6A	MFN2|MFN2|MFN2|NA	MFN2	Hereditary motor and sensory neuropathy VIA	Autosomal dominant	608507	601152	1	NA
MFN2|KIAA0214|CMT2A2|HMSN6A	MFN2|MFN2|MFN2|NA	MFN2	Charcot-Marie-Tooth disease, type 2A2	Autosomal dominant; Autosomal recessive	608507	609260	1	NA
TNFRSF8|CD30|D1S166E	TNFRSF8|TNFRSF8|TNFRSF8	TNFRSF8	NA	NA	153243	NA	1	NA
TNFRSF1B|TNFR2|TNFBR	TNFRSF1B|TNFRSF1B|TNFRSF1B	TNFRSF1B	NA	NA	191191	NA	1	NA
GBD2	GBD2	GBD2	Gallbladder disease 2	None	609918	609918	1	NA
DHRS3|RETSDR1	DHRS3|NA	DHRS3	NA	NA	612830	NA	1	NA
LRRC38	LRRC38	LRRC38	NA	NA	615212	NA	1	NA
PDPN|TI1A|T1A2|GP36|OTS8|AGGRUS	PDPN|NA|NA|NA|NA|NA	PDPN	NA	NA	608863	NA	1	NA
PRDM2|RIZ	PRDM2|PRDM2	PRDM2	NA	NA	601196	NA	1	NA
EFHD2|SWS1	EFHD2|ZSWIM7	EFHD2,ZSWIM7	NA	NA	616450	NA	1	NA
CTRC|CLCR	CTRC|CTRC	CTRC	Pancreatitis, chronic, susceptibility to	Autosomal dominant	601405	167800	1	NA
CELA2A|ELA2A	CELA2A|CELA2A	CELA2A	NA	NA	609443	NA	1	NA
CELA2B|ELA2B	CELA2B|CELA2B	CELA2B	NA	NA	609444	NA	1	NA
CASP9|APAF3	CASP9|NA	CASP9	NA	NA	602234	NA	1	NA
RSC1A1|RS1	RSC1A1|RS1,RSC1A1	RSC1A1,RS1	NA	NA	601966	NA	1	NA
SLC25A34	SLC25A34	SLC25A34	NA	NA	610817	NA	1	NA
FBLP1|MIGFILIN	NA|NA	NA	NA	NA	607747	NA	1	NA
SPEN|MINT|SHARP|HIAA0929	SPEN|SPEN|SPEN|NA	SPEN	NA	NA	613484	NA	1	NA
ANIB3	ANIB3	ANIB3	Aneurysm, intracranial berry, 3	Autosomal dominant	609122	609122	1	NA
EA8	NA	NA	Episodic ataxia, type 8	Autosomal dominant	616055	616055	1	between rs2743201 and rs215791
MEMO1	MEMO1	MEMO1	NA	NA	601201	NA	1	NA
ZBTB17|ZNF151|MIZ1	ZBTB17|ZBTB17|ZBTB17	ZBTB17	NA	NA	604084	NA	1	NA
HSPB7|CVHSP	HSPB7|NA	HSPB7	NA	NA	610692	NA	1	NA
CLCNKA	CLCNKA	CLCNKA	Bartter syndrome, type 4b, digenic	Digenic recessive	602024	613090	1	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB
CLCNKB	CLCNKB	CLCNKB	Bartter syndrome, type 4b, digenic	Digenic recessive	602023	613090	1	unequal crossingover with CLCNKA
CLCNKB	CLCNKB	CLCNKB	Bartter syndrome, type 3	Autosomal recessive	602023	607364	1	unequal crossingover with CLCNKA
EPHA2|ECK|ARCC2|CTPP1|CTPA|ARCC2|CTRCT6	EPHA2|EPHA2|NA|NA|NA|NA|NA	EPHA2	Cataract 6, multiple types	Autosomal dominant	176946	116600	1	NA
ARHGEF19|WGEF	ARHGEF19|ARHGEF19	ARHGEF19	NA	NA	612496	NA	1	NA
FBXO42|FBX42|KIAA1332	FBXO42|NA|FBXO42	FBXO42	NA	NA	609109	NA	1	NA
NECAP2	NECAP2	NECAP2	NA	NA	611624	NA	1	NA
TRNAG1|TRG1	NA|NA	NA	NA	NA	189911	NA	1	NA
NBPF1|KIAA1693	NBPF1|NBPF1	NBPF1	NA	NA	610501	NA	1	pseudogenes on 3 and 5
RNU1A|RNU1	RNU1-1|RNU1-1	RNU1-1	NA	NA	180680	NA	1	?same as A12M2
TRNAE1|TRNE|TRE	TRE-TTC3-1|NA|TREH,TRE-TTC3-1	TREH,TRE-TTC3-1	NA	NA	180640	NA	1	NA
CROCC|ROOTLETIN|KIAA0445	CROCC|NA|NA	CROCC	NA	NA	615776	NA	1	NA
MFAP2|MAGP|MAGP1	MFAP2|MFAP2|NA	MFAP2	NA	NA	156790	NA	1	NA
ATP13A2|PARK9|KRPPD|CLN12	ATP13A2|ATP13A2|NA|ATP13A2	ATP13A2	Kufor-Rakeb syndrome	Autosomal recessive	610513	606693	1	mutation identified in 1 family with CLN12
ATP13A2|PARK9|KRPPD|CLN12	ATP13A2|ATP13A2|NA|ATP13A2	ATP13A2	?Ceroid lipofuscinosis, neuronal, 12	Autosomal recessive	610513	606693	1	mutation identified in 1 family with CLN12
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Gastrointestinal stromal tumor	Autosomal dominant; Isolated cases	185470	606764	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Cowden syndrome 2	None	185470	612359	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Pheochromocytoma	Autosomal dominant	185470	171300	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Paragangliomas 4	Autosomal dominant	185470	115310	1	1 of 2 polypeptides
SDHB|SDH2|SDHIP|PGL4|CWS2	SDHB|SDHA|NA|NA|NA	SDHA,SDHB	Paraganglioma and gastric stromal sarcoma	None	185470	606864	1	1 of 2 polypeptides
PADI2	PADI2	PADI2	NA	NA	607935	NA	1	NA
PADI1	PADI1	PADI1	NA	NA	607934	NA	1	NA
PADI3	PADI3	PADI3	NA	NA	606755	NA	1	NA
PADI4|PADI5|PAD	PADI4|PADI4|DHX40,PADI4	PADI4,DHX40	Rheumatoid arthritis, susceptibility to	None	605347	180300	1	NA
PADI6	PADI6	PADI6	NA	NA	610363	NA	1	NA
ARHGEF10L|GRINCHGEF|KIAA1626	ARHGEF10L|NA|ARHGEF10L	ARHGEF10L	NA	NA	612494	NA	1	NA
PAX7|RMS2	PAX7|NA	PAX7	Rhabdomyosarcoma 2, alveolar	Autosomal recessive	167410	268220	1	fused with FKHR in rhabdomyosarcoma
TAS1R2|T1R2	TAS1R2|TAS1R2	TAS1R2	NA	NA	606226	NA	1	NA
ALDH4A1|ALDH4|P5CDH	ALDH4A1|ALDH4A1,ALDH9A1|NA	ALDH4A1,ALDH9A1	Hyperprolinemia, type II	Autosomal recessive	606811	239510	1	NA
UBR4|ZUBR1|RBAF600|KIAA1307	UBR4|UBR4|UBR4|UBR4	UBR4	NA	NA	609890	NA	1	NA
AKR7A4|AFAR3	NA|AKR7L	AKR7L	NA	NA	608478	NA	1	NA
AKR7A3|AFAR2	AKR7A3|NA	AKR7A3	NA	NA	608477	NA	1	NA
AKR7A2|AKR7|AFAR	AKR7A2|NA|AKR7A2	AKR7A2	NA	NA	603418	NA	1	pseudogenes on Xq25 and 1p12
PQLC2	PQLC2	PQLC2	NA	NA	614760	NA	1	NA
CAPZB|CAPPB	CAPZB|NA	CAPZB	NA	NA	601572	NA	1	NA
MINOS1|MIO10|MIC10	MINOS1|MINOS1|CD46	MINOS1,CD46	NA	NA	616574	NA	1	NA
D1S1733E|DAN	NBL1|NBL1,PARN	NBL1,PARN	NA	NA	600613	NA	1	aberrant in some neuroblastomas
HTR6	HTR6	HTR6	NA	NA	601109	NA	1	NA
OTUD3|KIAA0459	OTUD3|OTUD3	OTUD3	NA	NA	611758	NA	1	NA
PLA2G2A|PLA2B|PLA2L|MOM1	PLA2G2A|PLA2G2A|HHLA1,OC90,PLA2G2A|NA	PLA2G2A,HHLA1,OC90	Colorectal cancer	Autosomal dominant	172411	114500	1	NA
PLA2G5|FRFB	PLA2G5|NA	PLA2G5	Fleck retina, familial benign	Autosomal recessive	601192	228980	1	NA
B6QTL1	NA	NA	Vitamin B6 plasma level QTL 1	None	612957	612957	1	associated with rs4654748
BFIS4|BFIC4	NA|NA	NA	Seizures, benign familial infantile, 4	None	612627	612627	1	between D1S2864 and D1S2830
PLA2G2D|SPLASH	PLA2G2D|NA	PLA2G2D	NA	NA	605630	NA	1	NA
PLA2G2F	PLA2G2F	PLA2G2F	NA	NA	616793	NA	1	NA
UBXN10	UBXN10	UBXN10	NA	NA	616783	NA	1	NA
CAMK2N1	CAMK2N1	CAMK2N1	NA	NA	614986	NA	1	NA
MUL1|MULAN|C1orf166	MUL1|MUL1|MUL1	MUL1	NA	NA	612037	NA	1	NA
CDA	CDA	CDA	NA	NA	123920	NA	1	NA
PINK1|PARK6	PINK1|PINK1	PINK1	Parkinson disease 6, early onset	Autosomal recessive	608309	605909	1	NA
DDOST|OST|OST48|CDG1R	DDOST|DDOST,MCF2L|DDOST|NA	DDOST,MCF2L	?Congenital disorder of glycosylation, type Ir	Autosomal recessive	602202	614507	1	mutation (cmpd het) identified in 1 CDG1R patient
KIF17|KIAA1405	KIF17|KIF17	KIF17	NA	NA	605037	NA	1	NA
HP1BP3|HP1BP74	HP1BP3|NA	HP1BP3	NA	NA	616072	NA	1	NA
EIF4G3|EIF4GII	EIF4G3|NA	EIF4G3	NA	NA	603929	NA	1	NA
ECE1	ECE1	ECE1	Hirschsprung disease, cardiac defects, and autonomic dysfunction	None	600423	613870	1	NA
ECE1	ECE1	ECE1	Hypertension, essential, susceptibility to	Multifactorial	600423	145500	1	NA
NBPF3	NBPF3	NBPF3	NA	NA	612992	NA	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Odontohypophosphatasia	Autosomal dominant; Autosomal recessive	171760	146300	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Hypophosphatasia, infantile	Autosomal recessive	171760	241500	1	NA
ALPL|HOPS|TNSALP	ALPL|ALPL|ALPL	ALPL	Hypophosphatasia, childhood	Autosomal recessive	171760	241510	1	NA
