phenotype	phenotypeInheritance	phenotypeMimNumber	chromosome	gene	geneMimNumber	comments
Peroxisome biogenesis disorder 6B	Autosomal recessive	614871	1	PEX10,NALD,PBD6A,PBD6B	602859	NA
Peroxisome biogenesis disorder 6A (Zellweger)	None	614870	1	PEX10,NALD,PBD6A,PBD6B	602859	NA
NA	NA	NA	1	PLCH2,PLCL4	612836	NA
NA	NA	NA	1	PANK4	606162	NA
NA	NA	NA	1	HES5	607348	NA
NA	NA	NA	1	TNFRSF14,HVEM,TR2	602746	NA
NA	NA	NA	1	ACTRT2,ARPT2,ARPM2	608535	NA
Left ventricular noncompaction 8	Autosomal dominant	615373	1	PRDM16,MEL1,LVNC8,CMD1LL	605557	NA
Cardiomyopathy, dilated, 1LL	Autosomal dominant	615373	1	PRDM16,MEL1,LVNC8,CMD1LL	605557	NA
NA	NA	NA	1	MEGF6,EGFL3	604266	NA
NA	NA	NA	1	MIR551A	615148	NA
NA	NA	NA	1	TPRG1L,FAM79A	611460	NA
NA	NA	NA	1	WDR8	606040	NA
?Neuroblastoma	None	NA	1	TP73	601990	imprinted
Blood group, Vel system	Autosomal recessive	615264	1	SMIM1,VEL	615242	NA
NA	NA	NA	1	CEP104,GLYBP,KIAA0562	616690	NA
NA	NA	NA	1	DFFB,CAD,DFF2	601883	NA
NA	NA	NA	1	AJAP1,SHREW1	610972	NA
Deafness, autosomal recessive 96	Autosomal recessive	614414	1	DFNB96	614414	between rs3817914 and rs477558
Senior-Loken syndrome 4	Autosomal recessive	606996	1	NPHP4,SLSN4	607215	NA
Nephronophthisis 4	Autosomal recessive	606966	1	NPHP4,SLSN4	607215	NA
NA	NA	NA	1	KCNAB2,KCNA2B	601142	NA
NA	NA	NA	1	CHD5	610771	NA
NA	NA	NA	1	RPL22,EAP	180474	fused with AML1 in t(3;21)
NA	NA	NA	1	ICMT	605851	NA
NA	NA	NA	1	HES3	609971	NA
NA	NA	NA	1	GPR153	614269	NA
NA	NA	NA	1	ACOT7,BACH,LACH	602587	NA
NA	NA	NA	1	HES2	609970	NA
Deafness, neurosensory, without vestibular involvement, autosomal dominant	None	NA	1	ESPN	606351	NA
Deafness, autosomal recessive 36	None	609006	1	ESPN	606351	NA
NA	NA	NA	1	TNFRSF25,TNFRSF12,DR3,LARD	603366	NA
Spinal muscular atrophy, distal, autosomal recessive, 4	Autosomal recessive	611067	1	PLEKHG5,KIAA0720,DSMA4,CMTRIC	611101	NA
Charcot-Marie-Tooth disease, recessive intermediate C	Autosomal recessive	615376	1	PLEKHG5,KIAA0720,DSMA4,CMTRIC	611101	NA
NA	NA	NA	1	TAS1R1,T1R1	606225	NA
NA	NA	NA	1	ZBTB48,HKR3	165270	NA
NA	NA	NA	1	KLHL21,KIAA0469	616262	NA
NA	NA	NA	1	THAP3	612532	NA
NA	NA	NA	1	DNAJC11	614827	NA
Cerebellar ataxia, nonprogressive, with mental retardation	Autosomal dominant	614756	1	CAMTA1,KIAA0833,CANPMR	611501	NA
Glaucoma 3, primary infantile, B	Autosomal recessive	600975	1	GLC3B	600975	NA
Schizophrenia 12	Autosomal dominant	181500	1	SCZD12	608543	max lod at D1S1612
NA	NA	NA	1	VAMP3	603657	NA
NA	NA	NA	1	UTS2	604097	NA
NA	NA	NA	1	TNFRSF9,ILA,CD137	602250	NA
Parkinson disease 7, autosomal recessive early-onset	Autosomal recessive	606324	1	DJ1,PARK7	602533	NA
NA	NA	NA	1	MIG6,RALT	608069	NA
NA	NA	NA	1	SLC45A1,DNB5	605763	NA
NA	NA	NA	1	RERE	605226	NA
Enolase deficiency	None	NA	1	ENO1,PPH,MPB1	172430	NA
NA	NA	NA	1	CA6	114780	NA
NA	NA	NA	1	SLC2A7,GLUT7	610371	NA
NA	NA	NA	1	SLC2A5,GLUT5	138230	NA
NA	NA	NA	1	MIR34A,MIRN34A	611172	NA
Cortisone reductase deficiency 1	Autosomal recessive	604931	1	H6PD,GDH,G6PDH,CORTRD1	138090	digenic triallelic mutations with HSD11B1
NA	NA	NA	1	SPSB,SSB1	611657	NA
NA	NA	NA	1	SLC25A33	610816	NA
Immunodeficiency 14	Autosomal dominant	615513	1	PIK3CD,APDS,IMD14	602839	NA
NA	NA	NA	1	CLSTN1,KIAA0911	611321	NA
NA	NA	NA	1	CTNNBIP1,ICAT	607758	NA
NA	NA	NA	1	LZIC	610458	NA
Leber congenital amaurosis 9	Autosomal recessive	608553	1	NMNAT1,NMNAT,PNAT1,LCA9	608700	NA
NA	NA	NA	1	UBE4B,UFD2A,KIAA0684	613565	NA
Neuroblastoma, susceptibility to, 1	Isolated cases; Autosomal dominant	256700	1	KIF1B,CMT2A,CMT2A1,NBLST1	605995	mutation identified in 1 CMT2A1 family
Pheochromocytoma	Autosomal dominant	171300	1	KIF1B,CMT2A,CMT2A1,NBLST1	605995	mutation identified in 1 CMT2A1 family
?Charcot-Marie-Tooth disease, type 2A1	Autosomal dominant	118210	1	KIF1B,CMT2A,CMT2A1,NBLST1	605995	mutation identified in 1 CMT2A1 family
NA	NA	NA	1	PGD	172200	NA
NA	NA	NA	1	APITD1	609130	NA
NA	NA	NA	1	CORT	602784	NA
NA	NA	NA	1	DFFA,DFF1	601882	NA
Peroxisome biogenesis disorder 13A (Zellweger)	None	614887	1	PEX14,PBD13A	601791	NA
NA	NA	NA	1	CASZ1,SRG	609895	NA
Frontotemporal lobar degeneration, TARDBP-related	Autosomal dominant	612069	1	TARDBP,TDP43,ALS10	605078	pseudogenes on 2, 6, 8, 13, 20
Amyotrophic lateral sclerosis 10, with or without FTD	Autosomal dominant	612069	1	TARDBP,TDP43,ALS10	605078	pseudogenes on 2, 6, 8, 13, 20
MASP2 deficiency	None	613791	1	MASP2	605102	NA
NA	NA	NA	1	SRM,SPS1	182891	?pseudogene on 3p14-q21
NA	NA	NA	1	EXOSC10,PMSCL2	605960	NA
Smith-Kingsmore syndrome	None	616638	1	MTOR,FRAP1,SKS	601231	NA
Corneal dystrophy, Schnyder type	Autosomal dominant	121800	1	UBIAD1,TERE1,SCCD	611632	NA
NA	NA	NA	1	PTCHD2,DISP3,KIAA1337	611251	NA
NA	NA	NA	1	FBXO2,FBX2,FBG1,NFB42	607112	NA
NA	NA	NA	1	FBXO44,FBX44,FBX6A,FBG3	609111	NA
NA	NA	NA	1	FBXO6,FBX6,FBG2	605647	NA
NA	NA	NA	1	MAD2L2,MAD2B	604094	pseudogene on 14q21-q23
NA	NA	NA	1	DRAXIN,C1orf187	612682	NA
Neural tube defects, susceptibility to	Autosomal recessive	601634	1	MTHFR	607093	NA
Homocystinuria due to MTHFR deficiency	Autosomal recessive	236250	1	MTHFR	607093	NA
Vascular disease, susceptibility to	None	NA	1	MTHFR	607093	NA
Thromboembolism, susceptibility to	Autosomal dominant	188050	1	MTHFR	607093	NA
Schizophrenia, susceptibility to	Autosomal dominant	181500	1	MTHFR	607093	NA
NA	NA	NA	1	CLCN6	602726	NA
Atrial standstill 2	Autosomal recessive	615745	1	NPPA,PND,ANP,ATFB6,ATRST2	108780	NA
Atrial fibrillation, familial, 6	Autosomal dominant	612201	1	NPPA,PND,ANP,ATFB6,ATRST2	108780	NA
NA	NA	NA	1	NPPB,BNP	600295	NA
Ehlers-Danlos syndrome, type VI	Autosomal recessive	225400	1	PLOD1,LH1,LLH,EDS6	153454	NA
Hereditary motor and sensory neuropathy VIA	Autosomal dominant	601152	1	MFN2,KIAA0214,CMT2A2,HMSN6A	608507	NA
Charcot-Marie-Tooth disease, type 2A2	Autosomal recessive; Autosomal dominant	609260	1	MFN2,KIAA0214,CMT2A2,HMSN6A	608507	NA
NA	NA	NA	1	TNFRSF8,CD30,D1S166E	153243	NA
NA	NA	NA	1	TNFRSF1B,TNFR2,TNFBR	191191	NA
Gallbladder disease 2	None	609918	1	GBD2	609918	NA
NA	NA	NA	1	DHRS3,RETSDR1	612830	NA
NA	NA	NA	1	LRRC38	615212	NA
NA	NA	NA	1	PDPN,TI1A,T1A2,GP36,OTS8,AGGRUS	608863	NA
NA	NA	NA	1	PRDM2,RIZ	601196	NA
NA	NA	NA	1	EFHD2,SWS1	616450	NA
Pancreatitis, chronic, susceptibility to	Autosomal dominant	167800	1	CTRC,CLCR	601405	NA
NA	NA	NA	1	CELA2A,ELA2A	609443	NA
NA	NA	NA	1	CELA2B,ELA2B	609444	NA
NA	NA	NA	1	CASP9,APAF3	602234	NA
NA	NA	NA	1	RSC1A1,RS1	601966	NA
NA	NA	NA	1	SLC25A34	610817	NA
NA	NA	NA	1	FBLP1,MIGFILIN	607747	NA
NA	NA	NA	1	SPEN,MINT,SHARP,HIAA0929	613484	NA
Aneurysm, intracranial berry, 3	None	609122	1	ANIB3	609122	NA
Episodic ataxia, type 8	Autosomal dominant	616055	1	EA8	616055	between rs2743201 and rs215791
NA	NA	NA	1	MEMO1	601201	NA
NA	NA	NA	1	ZBTB17,ZNF151,MIZ1	604084	NA
NA	NA	NA	1	HSPB7,CVHSP	610692	NA
Bartter syndrome, type 4b, digenic	Digenic recessive	613090	1	CLCNKA	602024	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB
Bartter syndrome, type 4b, digenic	Digenic recessive	613090	1	CLCNKB	602023	unequal crossingover with CLCNKA
Bartter syndrome, type 3	Autosomal recessive	607364	1	CLCNKB	602023	unequal crossingover with CLCNKA
Cataract 6, multiple types	Autosomal dominant	116600	1	EPHA2,ECK,ARCC2,CTPP1,CTPA,ARCC2,CTRCT6	176946	NA
NA	NA	NA	1	ARHGEF19,WGEF	612496	NA
NA	NA	NA	1	FBXO42,FBX42,KIAA1332	609109	NA
NA	NA	NA	1	NECAP2	611624	NA
NA	NA	NA	1	TRNAG1,TRG1	189911	NA
NA	NA	NA	1	NBPF1,KIAA1693	610501	pseudogenes on 3 and 5
NA	NA	NA	1	RNU1A,RNU1	180680	?same as A12M2
NA	NA	NA	1	TRNAE1,TRNE,TRE	180640	NA
NA	NA	NA	1	CROCC,ROOTLETIN,KIAA0445	615776	NA
NA	NA	NA	1	MFAP2,MAGP,MAGP1	156790	NA
Kufor-Rakeb syndrome	Autosomal recessive	606693	1	ATP13A2,PARK9,KRPPD,CLN12	610513	mutation identified in 1 family with CLN12
?Ceroid lipofuscinosis, neuronal, 12	Autosomal recessive	606693	1	ATP13A2,PARK9,KRPPD,CLN12	610513	mutation identified in 1 family with CLN12
Cowden syndrome 2	None	612359	1	SDHB,SDH2,SDHIP,PGL4,CWS2	185470	1 of 2 polypeptides
Pheochromocytoma	Autosomal dominant	171300	1	SDHB,SDH2,SDHIP,PGL4,CWS2	185470	1 of 2 polypeptides
Paragangliomas 4	Autosomal dominant	115310	1	SDHB,SDH2,SDHIP,PGL4,CWS2	185470	1 of 2 polypeptides
Paraganglioma and gastric stromal sarcoma	None	606864	1	SDHB,SDH2,SDHIP,PGL4,CWS2	185470	1 of 2 polypeptides
Gastrointestinal stromal tumor	Isolated cases; Autosomal dominant	606764	1	SDHB,SDH2,SDHIP,PGL4,CWS2	185470	1 of 2 polypeptides
NA	NA	NA	1	PADI2	607935	NA
NA	NA	NA	1	PADI1	607934	NA
NA	NA	NA	1	PADI3	606755	NA
Rheumatoid arthritis, susceptibility to	None	180300	1	PADI4,PADI5,PAD	605347	NA
NA	NA	NA	1	PADI6	610363	NA
NA	NA	NA	1	ARHGEF10L,GRINCHGEF,KIAA1626	612494	NA
Rhabdomyosarcoma 2, alveolar	Autosomal recessive	268220	1	PAX7,RMS2	167410	fused with FKHR in rhabdomyosarcoma
NA	NA	NA	1	TAS1R2,T1R2	606226	NA
Hyperprolinemia, type II	Autosomal recessive	239510	1	ALDH4A1,ALDH4,P5CDH	606811	NA
NA	NA	NA	1	UBR4,ZUBR1,RBAF600,KIAA1307	609890	NA
NA	NA	NA	1	AKR7A4,AFAR3	608478	NA
NA	NA	NA	1	AKR7A3,AFAR2	608477	NA
NA	NA	NA	1	AKR7A2,AKR7,AFAR	603418	pseudogenes on Xq25 and 1p12
NA	NA	NA	1	PQLC2	614760	NA
NA	NA	NA	1	CAPZB,CAPPB	601572	NA
NA	NA	NA	1	MINOS1,MIO10,MIC10	616574	NA
NA	NA	NA	1	D1S1733E,DAN	600613	aberrant in some neuroblastomas
NA	NA	NA	1	HTR6	601109	NA
NA	NA	NA	1	OTUD3,KIAA0459	611758	NA
Colorectal cancer	Autosomal dominant	114500	1	PLA2G2A,PLA2B,PLA2L,MOM1	172411	NA
Fleck retina, familial benign	Autosomal recessive	228980	1	PLA2G5,FRFB	601192	NA
Vitamin B6 plasma level QTL 1	None	612957	1	B6QTL1	612957	associated with rs4654748
Seizures, benign familial infantile, 4	None	612627	1	BFIS4,BFIC4	612627	between D1S2864 and D1S2830
NA	NA	NA	1	PLA2G2D,SPLASH	605630	NA
NA	NA	NA	1	CAMK2N1	614986	NA
NA	NA	NA	1	MUL1,MULAN,C1orf166	612037	NA
NA	NA	NA	1	CDA	123920	NA
Parkinson disease 6, early onset	Autosomal recessive	605909	1	PINK1,PARK6	608309	NA
?Congenital disorder of glycosylation, type Ir	Autosomal recessive	614507	1	DDOST,OST,OST48,CDG1R	602202	mutation (cmpd het) identified in 1 CDG1R patient
NA	NA	NA	1	KIF17,KIAA1405	605037	NA
NA	NA	NA	1	HP1BP3,HP1BP74	616072	NA
NA	NA	NA	1	EIF4G3,EIF4GII	603929	NA
Hypertension, essential, susceptibility to	Multifactorial	145500	1	ECE1	600423	NA
Hirschsprung disease, cardiac defects, and autonomic dysfunction	None	613870	1	ECE1	600423	NA
NA	NA	NA	1	NBPF3	612992	NA
Odontohypophosphatasia	Autosomal recessive; Autosomal dominant	146300	1	ALPL,HOPS,TNSALP	171760	NA
Hypophosphatasia, infantile	Autosomal recessive	241500	1	ALPL,HOPS,TNSALP	171760	NA
Hypophosphatasia, childhood	Autosomal recessive	241510	1	ALPL,HOPS,TNSALP	171760	NA
Hypophosphatasia, adult	Autosomal recessive; Autosomal dominant	146300	1	ALPL,HOPS,TNSALP	171760	NA
NA	NA	NA	1	RAP1GA1	600278	NA
Schwartz-Jampel syndrome, type 1	Autosomal recessive	255800	1	HSPG2,PLC,SJS,SJA,SJS1	142461	NA
Dyssegmental dysplasia, Silverman-Handmaker type	Autosomal recessive	224410	1	HSPG2,PLC,SJS,SJA,SJS1	142461	NA
Takenouchi-Kosaki syndrome	None	616737	1	CDC42,TKS	116952	NA
SERKAL syndrome	None	611812	1	WNT4,SERKAL	603490	NA
Mullerian aplasia and hyperandrogenism	Autosomal dominant	158330	1	WNT4,SERKAL	603490	NA
NA	NA	NA	1	ZBTB40,KIAA0478	612106	NA
NA	NA	NA	1	EPHA8,EEK,HEK3	176945	NA
C1q deficiency	Autosomal recessive	613652	1	C1QA	120550	NA
C1q deficiency	Autosomal recessive	613652	1	C1QC,C1QG	120575	NA
C1q deficiency	Autosomal recessive	613652	1	C1QB	120570	NA
Prostate cancer/brain cancer susceptibility, somatic	None	603688	1	EPHB2,EPHT3,DRT,ERK,PCBC,CAPB	600997	NA
Cleft palate, psychomotor retardation, and distinctive facial features	None	616728	1	KDM1A,LSD1,AOF2,BHC110,KIAA0601,CPRF	609132	NA
NA	NA	NA	1	LUZP1	601422	NA
NA	NA	NA	1	HTR1D	182133	NA
NA	NA	NA	1	HNRPR,HNRNPR	607201	NA
NA	NA	NA	1	ZNF436,KIAA1710	611703	NA
NA	NA	NA	1	TCEA3	604128	NA
NA	NA	NA	1	ASAP3,UPLC1,CENTB6,DDEFL1,ACAP4	616594	NA
NA	NA	NA	1	E2F2	600426	NA
NA	NA	NA	1	ID3	600277	NA
NA	NA	NA	1	MDS2	607305	fused with ETV6 in myelodysplastic syndrome
Diamond-Blackfan anemia 7	None	612562	1	RPL11,DBA7	604175	NA
NA	NA	NA	1	TCEB3	600786	NA
NA	NA	NA	1	LYPLA2,APT2	616143	NA
Galactose epimerase deficiency	Autosomal recessive	230350	1	GALE	606953	NA
HMG-CoA lyase deficiency	Autosomal recessive	246450	1	HMGCL	613898	NA
Fucosidosis	Autosomal recessive	230000	1	FUCA1	612280	8cM distal to RH; pseudogene on 2q31-q32
NA	NA	NA	1	CNR2,CB2,CX5	605051	NA
NA	NA	NA	1	PNRC2	611882	NA
NA	NA	NA	1	SRSF10,FUSIP1,TASR,TASR1,TASR2	605221	pseudogenes on chr. 9, 12, 20
NA	NA	NA	1	IFNLR1,IL28RA	607404	NA
Van der Woude syndrome 2	Autosomal dominant	606713	1	GRHL3,SOM,TFCP2L4,VWS2	608317	NA
NA	NA	NA	1	STPG1,MAPO2,C1orf201	615826	NA
NA	NA	NA	1	RCAN3,DSCR1L2,MCIP3	605860	NA
NA	NA	NA	1	SRRM1,SRM160	605975	NA
NA	NA	NA	1	RUNX3,CBFA3,PEBP2A3,AML2	600210	NA
NA	NA	NA	1	SYF2,P29	607090	NA
Rh-negative blood type	None	NA	1	RHD	111680	NA
NA	NA	NA	1	TMEM50A,SMP1	605348	between RHD and RHCE
Blood group, Rhesus	None	111690	1	RHCE	111700	?order: C-E-D
Rh-null disease, amorph type	None	NA	1	RHCE	111700	?order: C-E-D
NA	NA	NA	1	TMEM57,FLJ10747	610301	NA
Hypercholesterolemia, familial, autosomal recessive	None	603813	1	LDLRAP1,ARH,FHCB2,FHCB1	605747	NA
Myopathy, congenital, with fiber-type disproportion	Autosomal recessive; Autosomal dominant	255310	1	SEPN1,SELN,RSMD1,CFTD	606210	NA
Muscular dystrophy, rigid spine, 1	Autosomal recessive	602771	1	SEPN1,SELN,RSMD1,CFTD	606210	NA
NA	NA	NA	1	PAQR7,MPRA,PGLP	607779	NA
NA	NA	NA	1	STMN1,LAP18,SMN	151442	NA
NA	NA	NA	1	PAFAH2	602344	NA
NA	NA	NA	1	EXTL1	601738	NA
Zinc deficiency, transient neonatal	Autosomal dominant	608118	1	SLC30A2,ZNT2,TNZD	609617	NA
NA	NA	NA	1	TRIM63,RNF28,SMRZ,MURF1	606131	NA
NA	NA	NA	1	PDIK1L	610785	NA
NA	NA	NA	1	ZNF593,ZT86	616698	NA
NA	NA	NA	1	CNKSR1,CNK1	603272	NA
NA	NA	NA	1	CATSPER4	609121	NA
NA	NA	NA	1	SH3BGRL3	615679	NA
NA	NA	NA	1	UBXN11,SOC	609151	NA
NA	NA	NA	1	CD52,CDW52	114280	NA
NA	NA	NA	1	LIN28,LIN28A	611043	NA
Retinitis pigmentosa 59	Autosomal recessive	613861	1	DHDDS,HDS,RP59	608172	NA
NA	NA	NA	1	HMGN2,HMG17	163910	NA
NA	NA	NA	1	RPS6KA1,RSK1	601684	NA
Mental retardation, autosomal dominant 14	None	614607	1	ARID1A,C1orf4,B120,SMARCF1,MRD14	603024	NA
Hyperphosphatasia with mental retardation syndrome 1	Autosomal recessive	239300	1	PIGV,HPMRS1	610274	NA
NA	NA	NA	1	SFN	601290	NA
NA	NA	NA	1	NUDC	610325	NA
Obesity, mild, early-onset	Multifactorial; Autosomal recessive; Autosomal dominant	601665	1	NR0B2,SHP	604630	NA
?Lichtenstein-Knorr syndrome	Autosomal recessive	616291	1	SLC9A1,NHE1,APNH,LIKNS	107310	mutation identified in 1 LIKNS family
NA	NA	NA	1	SYTL1,SLP1,JFC1	608042	NA
NA	NA	NA	1	MAP3K6,MAPKKK6,ASK2	604468	NA
Immunodeficiency due to ficolin 3 deficiency	None	613860	1	FCN3,HAKA1	604973	NA
NA	NA	NA	1	GPR3	600241	NA
NA	NA	NA	1	WASF2,WAVE2,SCAR2	605875	?pseudogene on Xp11.21
Xia-Gibbs syndrome	Autosomal dominant	615829	1	AHDC1,MRD25	615790	NA
NA	NA	NA	1	EBVS1	132850	NA
NA	NA	NA	1	FGR,SRC2	164940	same as SRC2
NA	NA	NA	1	G1P3,IFI616	147572	NA
NA	NA	NA	1	PPP1R8,NIPP1,ARD1	602636	NA
NA	NA	NA	1	RPA2	179836	NA
NA	NA	NA	1	EYA3	601655	NA
NA	NA	NA	1	PTAFR	173393	NA
NA	NA	NA	1	ATP1F1,IF1	614981	NA
NA	NA	NA	1	SEST2,HI95	607767	NA
NA	NA	NA	1	MED18	612384	NA
NA	NA	NA	1	PHACTR4	608726	NA
NA	NA	NA	1	CHC1,RCC1	179710	NA
NA	NA	NA	1	RNU17D,U17HG	603238	NA
NA	NA	NA	1	RNU17A,RNE1	180645	in IVS1 of CHC1
NA	NA	NA	1	RNU17B	603239	NA
NA	NA	NA	1	TAF12	600773	NA
NA	NA	NA	1	GMEB1	604409	NA
NA	NA	NA	1	YTHDF2	610640	fused with AML1 in t(1;21)
NA	NA	NA	1	OPRD1	165195	NA
Elliptocytosis-1	None	611804	1	EPB41,EL1	130500	NA
NA	NA	NA	1	SRSF4,SFRS4,SRp75	601940	NA
NA	NA	NA	1	MECR,NRBF1	608205	NA
NA	NA	NA	1	PTPRU,GLEPP1,PTPU2	602454	NA
NA	NA	NA	1	MATN1,CRTM,CMP	115437	NA
NA	NA	NA	1	LAPTM5	601476	NA
Obesity, association with	Multifactorial; Autosomal recessive; Autosomal dominant	601665	1	SDC3,SYND3,SDCN	186357	NA
NA	NA	NA	1	PUM1,KIAA0099	607204	NA
NA	NA	NA	1	NKAIN1	612871	NA
NA	NA	NA	1	SNRNP40,SPF38,PRPF8BP	607797	NA
NA	NA	NA	1	FABP3	134651	NA
NA	NA	NA	1	SERINC2	614549	NA
NA	NA	NA	1	TINAGL1,TINAGRP	616064	NA
NA	NA	NA	1	HCRTR1,OX1R	602392	NA
NA	NA	NA	1	PEF1	610033	NA
NA	NA	NA	1	COL16A1	120326	NA
NA	NA	NA	1	BAI2	602683	NA
NA	NA	NA	1	PTP4A2,PTP4A,PRL2,HH13	601584	NA
NA	NA	NA	1	KHDRBS1,SAM68	602489	NA
NA	NA	NA	1	KPNA6	610563	NA
Bardet-Biedl syndrome 1, modifier of	Autosomal recessive; Digenic recessive	209900	1	CCDC28B,MGC1203	610162	NA
NA	NA	NA	1	EIF3I,EIF3S2,TRIP1	603911	pseudogene on 7q32
?Immunodeficiency 22	Autosomal recessive	615758	1	LCK,IMD22	153390	LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient
NA	NA	NA	1	HDAC1,RPD3L1	601241	NA
NA	NA	NA	1	MARCKSL1,MLP,MRP	602940	NA
NA	NA	NA	1	TSSK3,STK22C,STK22D	607660	NA
NA	NA	NA	1	ZBTB8OS,ARCH	615891	NA
NA	NA	NA	1	SYNC1	611750	NA
Charcot-Marie-Tooth disease, dominant intermediate C	Autosomal dominant	608323	1	YARS,CMTDIC,TYRRS,YTS,YRS	603623	NA
NA	NA	NA	1	S100PBP,S100PBPR	611889	NA
NA	NA	NA	1	FNDC5,FRCP2	611906	NA
Dystonia 2, torsion, autosomal recessive	Autosomal recessive	224500	1	HPCA,DYT2	142622	NA
NA	NA	NA	1	IBRDC3,NKLAM	610872	NA
Reticular dysgenesis	Autosomal recessive	267500	1	AK2	103020	NA
NA	NA	NA	1	AZIN2,ODC1L,KIAA1945	608353	NA
NA	NA	NA	1	CSMD2,KIAA1884	608398	NA
