phenotype	phenotypeInheritance	phenotypeMimNumber	chromosome	gene	geneMimNumber	comments
NA	NA	NA	1	HES5	607348	NA
NA	NA	NA	1	TNFRSF14,NR2C1	602746	NA
NA	NA	NA	1	ARPT2,ACTRT2	608535	NA
Left ventricular noncompaction 8	Autosomal dominant	615373	1	PRDM16,LVNC8,CMD1LL	605557	NA
Cardiomyopathy, dilated, 1LL	Autosomal dominant	615373	1	PRDM16,LVNC8,CMD1LL	605557	NA
NA	NA	NA	1	MEGF6	604266	NA
NA	NA	NA	1	MIR551A	615148	NA
NA	NA	NA	1	TPRG1L	611460	NA
NA	NA	NA	1	WRAP73	606040	NA
?Neuroblastoma	None	NA	1	TP73	601990	imprinted
Blood group, Vel system	Autosomal recessive	615264	1	SMIM1,VEL	615242	NA
NA	NA	NA	1	GLYBP,CEP104	616690	NA
NA	NA	NA	1	DFF2,DFFB	601883	NA
NA	NA	NA	1	AJAP1	610972	NA
Deafness, autosomal recessive 96	Autosomal recessive	614414	1	DFNB96	614414	between rs3817914 and rs477558
Senior-Loken syndrome 4	Autosomal recessive	606996	1	NPHP4	607215	NA
Nephronophthisis 4	Autosomal recessive	606966	1	NPHP4	607215	NA
NA	NA	NA	1	KCNAB2	601142	NA
NA	NA	NA	1	CHD6	610771	NA
NA	NA	NA	1	RPL22	180474	fused with AML1 in t(3;21)
NA	NA	NA	1	ICMT	605851	NA
NA	NA	NA	1	HES3	609971	NA
NA	NA	NA	1	GPR153	614269	NA
NA	NA	NA	1	LACH,ACOT7	602587	NA
NA	NA	NA	1	HES2	609970	NA
Deafness, neurosensory, without vestibular involvement, autosomal dominant	None	NA	1	ESPN	606351	NA
Deafness, autosomal recessive 36	None	609006	1	ESPN	606351	NA
NA	NA	NA	1	TNFRSF25	603366	NA
Spinal muscular atrophy, distal, autosomal recessive, 4	Autosomal recessive	611067	1	CMTRIC,DSMA4,PLEKHG5	611101	NA
Charcot-Marie-Tooth disease, recessive intermediate C	Autosomal recessive	615376	1	CMTRIC,DSMA4,PLEKHG5	611101	NA
NA	NA	NA	1	TAS1R1	606225	NA
NA	NA	NA	1	ZBTB48	165270	NA
NA	NA	NA	1	KLHL21	616262	NA
NA	NA	NA	1	THAP3	612532	NA
NA	NA	NA	1	DNAJC11	614827	NA
Cerebellar ataxia, nonprogressive, with mental retardation	Autosomal dominant	614756	1	CANPMR,CAMTA1	611501	NA
Glaucoma 3, primary infantile, B	Autosomal recessive	600975	1	GLC3B	600975	NA
Schizophrenia 12	Autosomal dominant	181500	1	SCZD12	608543	max lod at D1S1612
NA	NA	NA	1	VAMP3	603657	NA
NA	NA	NA	1	UTS2	604097	NA
NA	NA	NA	1	TNFRSF9	602250	NA
Parkinson disease 7, autosomal recessive early-onset	Autosomal recessive	606324	1	PARK7	602533	NA
NA	NA	NA	1	ERRFI1,MIG6	608069	NA
NA	NA	NA	1	SLC45A1	605763	NA
NA	NA	NA	1	RERE	605226	NA
Enolase deficiency	None	NA	1	ENO1	172430	NA
NA	NA	NA	1	CA6	114780	NA
NA	NA	NA	1	SLC2A7	610371	NA
NA	NA	NA	1	SLC2A5	138230	NA
NA	NA	NA	1	MIR34A	611172	NA
Cortisone reductase deficiency 1	Autosomal recessive	604931	1	CRYL1,G6PDH,CORTRD1,H6PD	138090	digenic triallelic mutations with HSD11B1
NA	NA	NA	1	NABP2,SPSB	611657	NA
NA	NA	NA	1	SLC25A33	610816	NA
Immunodeficiency 14	Autosomal dominant	615513	1	APDS,IMD14,PIK3CD	602839	NA
NA	NA	NA	1	CLSTN1	611321	NA
NA	NA	NA	1	CTNNBIP1	607758	NA
NA	NA	NA	1	LZIC	610458	NA
Leber congenital amaurosis 9	Autosomal recessive	608553	1	NMNAT1	608700	NA
NA	NA	NA	1	UBE4B,UFD2A	613565	NA
Neuroblastoma, susceptibility to, 1	Isolated cases; Autosomal dominant	256700	1	CMT2A1,NBLST1,KIF1B	605995	mutation identified in 1 CMT2A1 family
Pheochromocytoma	Autosomal dominant	171300	1	CMT2A1,NBLST1,KIF1B	605995	mutation identified in 1 CMT2A1 family
?Charcot-Marie-Tooth disease, type 2A1	Autosomal dominant	118210	1	CMT2A1,NBLST1,KIF1B	605995	mutation identified in 1 CMT2A1 family
NA	NA	NA	1	PGD	172200	NA
NA	NA	NA	1	APITD1	609130	NA
NA	NA	NA	1	CORT	602784	NA
NA	NA	NA	1	DFFA	601882	NA
Peroxisome biogenesis disorder 13A (Zellweger)	None	614887	1	PEX14,PBD13A	601791	NA
NA	NA	NA	1	CASZ1	609895	NA
Frontotemporal lobar degeneration, TARDBP-related	Autosomal dominant	612069	1	TDP43,TARDBP	605078	pseudogenes on 2, 6, 8, 13, 20
Amyotrophic lateral sclerosis 10, with or without FTD	Autosomal dominant	612069	1	TDP43,TARDBP	605078	pseudogenes on 2, 6, 8, 13, 20
MASP2 deficiency	None	613791	1	MASP2	605102	NA
NA	NA	NA	1	SEPHS1,SRMS	182891	?pseudogene on 3p14-q21
NA	NA	NA	1	EXOSC10	605960	NA
Smith-Kingsmore syndrome	None	616638	1	MTOR,SKS	601231	NA
Corneal dystrophy, Schnyder type	Autosomal dominant	121800	1	UBIAD1	611632	NA
NA	NA	NA	1	PTCHD2	611251	NA
NA	NA	NA	1	FBG1,FBXO2,NFB42	607112	NA
NA	NA	NA	1	FBXO44,FBX44,FBX6A	609111	NA
NA	NA	NA	1	FBXO6	605647	NA
NA	NA	NA	1	MAD2L2	604094	pseudogene on 14q21-q23
NA	NA	NA	1	DRAXIN	612682	NA
Neural tube defects, susceptibility to	Autosomal recessive	601634	1	MTHFR	607093	NA
Homocystinuria due to MTHFR deficiency	Autosomal recessive	236250	1	MTHFR	607093	NA
Vascular disease, susceptibility to	None	NA	1	MTHFR	607093	NA
Thromboembolism, susceptibility to	Autosomal dominant	188050	1	MTHFR	607093	NA
Schizophrenia, susceptibility to	Autosomal dominant	181500	1	MTHFR	607093	NA
NA	NA	NA	1	CLCN6	602726	NA
Atrial standstill 2	Autosomal recessive	615745	1	ATFB6,ATRST2,NPPA	108780	NA
Atrial fibrillation, familial, 6	Autosomal dominant	612201	1	ATFB6,ATRST2,NPPA	108780	NA
NA	NA	NA	1	BNP,NPPB	600295	NA
Ehlers-Danlos syndrome, type VI	Autosomal recessive	225400	1	PLOD1,EDS6	153454	NA
Hereditary motor and sensory neuropathy VIA	Autosomal dominant	601152	1	MFN2,HMSN6A	608507	NA
Charcot-Marie-Tooth disease, type 2A2	Autosomal recessive; Autosomal dominant	609260	1	MFN2,HMSN6A	608507	NA
NA	NA	NA	1	TNFRSF8	153243	NA
NA	NA	NA	1	TNFRSF1B	191191	NA
Gallbladder disease 2	None	609918	1	GBD2	609918	NA
NA	NA	NA	1	RETSDR1,DHRS3	612830	NA
NA	NA	NA	1	LRRC38	615212	NA
NA	NA	NA	1	T1A2,GP36,PDPN,TI1A,AGGRUS,OTS8	608863	NA
NA	NA	NA	1	PRDM2	601196	NA
NA	NA	NA	1	EFHD2,ZSWIM7	616450	NA
Pancreatitis, chronic, susceptibility to	Autosomal dominant	167800	1	CTRC	601405	NA
NA	NA	NA	1	CELA2A	609443	NA
NA	NA	NA	1	CELA2B	609444	NA
NA	NA	NA	1	APAF3,CASP9	602234	NA
NA	NA	NA	1	RSC1A1	601966	NA
NA	NA	NA	1	SLC25A34	610817	NA
NA	NA	NA	1	FBLP1,MIGFILIN	607747	NA
NA	NA	NA	1	SPEN,HIAA0929	613484	NA
Aneurysm, intracranial berry, 3	None	609122	1	ANIB3	609122	NA
Episodic ataxia, type 8	Autosomal dominant	616055	1	EA8	616055	between rs2743201 and rs215791
NA	NA	NA	1	MEMO1	601201	NA
NA	NA	NA	1	ZBTB17	604084	NA
NA	NA	NA	1	HSPB7,CVHSP	610692	NA
Bartter syndrome, type 4b, digenic	Digenic recessive	613090	1	CLCNKA	602024	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB
Bartter syndrome, type 4b, digenic	Digenic recessive	613090	1	CLCNKB	602023	unequal crossingover with CLCNKA
Bartter syndrome, type 3	Autosomal recessive	607364	1	CLCNKB	602023	unequal crossingover with CLCNKA
Cataract 6, multiple types	Autosomal dominant	116600	1	CTPA,CTRCT6,CTPP1,EPHA2,ARCC2	176946	NA
NA	NA	NA	1	ARHGEF19	612496	NA
NA	NA	NA	1	FBX42,FBXO42	609109	NA
NA	NA	NA	1	NECAP2	611624	NA
NA	NA	NA	1	TRG1,TRNAG1	189911	NA
NA	NA	NA	1	NBPF1	610501	pseudogenes on 3 and 5
NA	NA	NA	1	RNU1-1	180680	?same as A12M2
NA	NA	NA	1	TREH,TRE-TTC3-1,TRNE	180640	NA
NA	NA	NA	1	ROOTLETIN,CROCC,KIAA0445	615776	NA
NA	NA	NA	1	MAGP1,MFAP2	156790	NA
Kufor-Rakeb syndrome	Autosomal recessive	606693	1	KRPPD,ATP13A2	610513	mutation identified in 1 family with CLN12
?Ceroid lipofuscinosis, neuronal, 12	Autosomal recessive	606693	1	KRPPD,ATP13A2	610513	mutation identified in 1 family with CLN12
Cowden syndrome 2	None	612359	1	SDHA,SDHIP,SDHB,PGL4,CWS2	185470	1 of 2 polypeptides
Pheochromocytoma	Autosomal dominant	171300	1	SDHA,SDHIP,SDHB,PGL4,CWS2	185470	1 of 2 polypeptides
Paragangliomas 4	Autosomal dominant	115310	1	SDHA,SDHIP,SDHB,PGL4,CWS2	185470	1 of 2 polypeptides
Paraganglioma and gastric stromal sarcoma	None	606864	1	SDHA,SDHIP,SDHB,PGL4,CWS2	185470	1 of 2 polypeptides
Gastrointestinal stromal tumor	Isolated cases; Autosomal dominant	606764	1	SDHA,SDHIP,SDHB,PGL4,CWS2	185470	1 of 2 polypeptides
NA	NA	NA	1	PADI2	607935	NA
NA	NA	NA	1	PADI1	607934	NA
NA	NA	NA	1	PADI3	606755	NA
Rheumatoid arthritis, susceptibility to	None	180300	1	PADI4,DHX40	605347	NA
NA	NA	NA	1	PADI6	610363	NA
NA	NA	NA	1	ARHGEF10L,GRINCHGEF	612494	NA
Rhabdomyosarcoma 2, alveolar	Autosomal recessive	268220	1	RMS2,PAX7	167410	fused with FKHR in rhabdomyosarcoma
NA	NA	NA	1	TAS1R2	606226	NA
Hyperprolinemia, type II	Autosomal recessive	239510	1	ALDH4A1,P5CDH	606811	NA
NA	NA	NA	1	UBR4	609890	NA
NA	NA	NA	1	AKR7L,AKR7A4	608478	NA
NA	NA	NA	1	AKR7A3,AFAR2	608477	NA
NA	NA	NA	1	AKR7A2,AKR7	603418	pseudogenes on Xq25 and 1p12
NA	NA	NA	1	PQLC2	614760	NA
NA	NA	NA	1	CAPZB,CAPPB	601572	NA
NA	NA	NA	1	MINOS1,CD46	616574	NA
NA	NA	NA	1	NBL1	600613	aberrant in some neuroblastomas
NA	NA	NA	1	HTR6	601109	NA
NA	NA	NA	1	OTUD3	611758	NA
Colorectal cancer	Autosomal dominant	114500	1	PLA2G2A,MOM1,HHLA1	172411	NA
Fleck retina, familial benign	Autosomal recessive	228980	1	PLA2G5,FRFB	601192	NA
Vitamin B6 plasma level QTL 1	None	612957	1	B6QTL1	612957	associated with rs4654748
Seizures, benign familial infantile, 4	None	612627	1	BFIS4,BFIC4	612627	between D1S2864 and D1S2830
NA	NA	NA	1	SPLASH,PLA2G2D	605630	NA
NA	NA	NA	1	CAMK2N1	614986	NA
NA	NA	NA	1	MUL1	612037	NA
NA	NA	NA	1	CDA	123920	NA
Parkinson disease 6, early onset	Autosomal recessive	605909	1	PINK1	608309	NA
?Congenital disorder of glycosylation, type Ir	Autosomal recessive	614507	1	DDOST,CDG1R	602202	mutation (cmpd het) identified in 1 CDG1R patient
NA	NA	NA	1	KIF17	605037	NA
NA	NA	NA	1	HP1BP74,HP1BP3	616072	NA
NA	NA	NA	1	EIF4G3,EIF4GII	603929	NA
Hypertension, essential, susceptibility to	Multifactorial	145500	1	ECE1	600423	NA
Hirschsprung disease, cardiac defects, and autonomic dysfunction	None	613870	1	ECE1	600423	NA
NA	NA	NA	1	NBPF3	612992	NA
Odontohypophosphatasia	Autosomal recessive; Autosomal dominant	146300	1	ALPL	171760	NA
Hypophosphatasia, infantile	Autosomal recessive	241500	1	ALPL	171760	NA
Hypophosphatasia, childhood	Autosomal recessive	241510	1	ALPL	171760	NA
Hypophosphatasia, adult	Autosomal recessive; Autosomal dominant	146300	1	ALPL	171760	NA
NA	NA	NA	1	RAP1GAP	600278	NA
Schwartz-Jampel syndrome, type 1	Autosomal recessive	255800	1	SJS,SJA,HSPG2,PLC	142461	NA
Dyssegmental dysplasia, Silverman-Handmaker type	Autosomal recessive	224410	1	SJS,SJA,HSPG2,PLC	142461	NA
Takenouchi-Kosaki syndrome	None	616737	1	TKS,CDC42	116952	NA
SERKAL syndrome	None	611812	1	SERKAL,WNT4	603490	NA
Mullerian aplasia and hyperandrogenism	Autosomal dominant	158330	1	SERKAL,WNT4	603490	NA
NA	NA	NA	1	ZBTB40	612106	NA
NA	NA	NA	1	HEK3,EPHA8	176945	NA
C1q deficiency	Autosomal recessive	613652	1	C1QA	120550	NA
C1q deficiency	Autosomal recessive	613652	1	C1QC	120575	NA
C1q deficiency	Autosomal recessive	613652	1	C1QB	120570	NA
Prostate cancer/brain cancer susceptibility, somatic	None	603688	1	EPHB2,CAPB,PCBC	600997	NA
Cleft palate, psychomotor retardation, and distinctive facial features	None	616728	1	KDM1A,CPRF	609132	NA
NA	NA	NA	1	LUZP1	601422	NA
NA	NA	NA	1	HTR1D	182133	NA
NA	NA	NA	1	HNRNPR	607201	NA
NA	NA	NA	1	ZNF436	611703	NA
NA	NA	NA	1	TCEA3	604128	NA
NA	NA	NA	1	ACAP4,ASAP3	616594	NA
NA	NA	NA	1	E2F2	600426	NA
NA	NA	NA	1	ID3	600277	NA
NA	NA	NA	1	MDS2	607305	fused with ETV6 in myelodysplastic syndrome
Diamond-Blackfan anemia 7	None	612562	1	DBA7,RPL11	604175	NA
NA	NA	NA	1	TCEB3	600786	NA
NA	NA	NA	1	APT2,LYPLA2	616143	NA
Galactose epimerase deficiency	Autosomal recessive	230350	1	GALE	606953	NA
HMG-CoA lyase deficiency	Autosomal recessive	246450	1	HMGCL	613898	NA
Fucosidosis	Autosomal recessive	230000	1	FUCA1	612280	8cM distal to RH; pseudogene on 2q31-q32
NA	NA	NA	1	CNR2,PCDHA6,CX5	605051	NA
NA	NA	NA	1	PNRC2	611882	NA
NA	NA	NA	1	TASR,SRSF10	605221	pseudogenes on chr. 9, 12, 20
NA	NA	NA	1	IFNLR1	607404	NA
Van der Woude syndrome 2	Autosomal dominant	606713	1	VWS2,GRHL3	608317	NA
NA	NA	NA	1	STPG1	615826	NA
NA	NA	NA	1	RCAN3,MCIP3	605860	NA
NA	NA	NA	1	SRRM1	605975	NA
NA	NA	NA	1	RUNX3	600210	NA
NA	NA	NA	1	SYF2,PRTN3	607090	NA
Rh-negative blood type	None	NA	1	RHD	111680	NA
NA	NA	NA	1	TMEM50A	605348	between RHD and RHCE
Blood group, Rhesus	None	111690	1	RHCE	111700	?order: C-E-D
Rh-null disease, amorph type	None	NA	1	RHCE	111700	?order: C-E-D
NA	NA	NA	1	TMEM57	610301	NA
Hypercholesterolemia, familial, autosomal recessive	None	603813	1	LDLRAP1	605747	NA
Myopathy, congenital, with fiber-type disproportion	Autosomal recessive; Autosomal dominant	255310	1	MPFD,SEPN1,SELN	606210	NA
Muscular dystrophy, rigid spine, 1	Autosomal recessive	602771	1	MPFD,SEPN1,SELN	606210	NA
NA	NA	NA	1	PAQR7,PGLP	607779	NA
NA	NA	NA	1	SNRPN,STMN1	151442	NA
NA	NA	NA	1	PAFAH2	602344	NA
NA	NA	NA	1	EXTL1	601738	NA
Zinc deficiency, transient neonatal	Autosomal dominant	608118	1	TNZD,SLC30A2	609617	NA
NA	NA	NA	1	MURF1,TRIM63	606131	NA
NA	NA	NA	1	PDIK1L	610785	NA
NA	NA	NA	1	ZNF593	616698	NA
NA	NA	NA	1	CNKSR1	603272	NA
NA	NA	NA	1	CATSPER4	609121	NA
NA	NA	NA	1	SH3BGRL3	615679	NA
NA	NA	NA	1	UBXN11	609151	NA
NA	NA	NA	1	CD52	114280	NA
NA	NA	NA	1	LIN28A	611043	NA
Retinitis pigmentosa 59	Autosomal recessive	613861	1	DHDDS	608172	NA
NA	NA	NA	1	HMGN2	163910	NA
NA	NA	NA	1	RPS6KA1	601684	NA
Mental retardation, autosomal dominant 14	None	614607	1	MRD14,ARID1A	603024	NA
Hyperphosphatasia with mental retardation syndrome 1	Autosomal recessive	239300	1	HPMRS1,PIGV	610274	NA
NA	NA	NA	1	REXO2	601290	NA
NA	NA	NA	1	NUDC	610325	NA
Obesity, mild, early-onset	Multifactorial; Autosomal recessive; Autosomal dominant	601665	1	NR0B2	604630	NA
?Lichtenstein-Knorr syndrome	Autosomal recessive	616291	1	LIKNS,SLC9A1	107310	mutation identified in 1 LIKNS family
NA	NA	NA	1	SYTL1,SUCO	608042	NA
NA	NA	NA	1	MAP3K6	604468	NA
Immunodeficiency due to ficolin 3 deficiency	None	613860	1	FCN3	604973	NA
NA	NA	NA	1	GPR3	600241	NA
NA	NA	NA	1	WASF2	605875	?pseudogene on Xp11.21
Xia-Gibbs syndrome	Autosomal dominant	615829	1	AHDC1,MRD25	615790	NA
NA	NA	NA	1	EBVS1	132850	NA
NA	NA	NA	1	FGR	164940	same as SRC2
NA	NA	NA	1	IFI6	147572	NA
NA	NA	NA	1	PPP1R8,NAA10	602636	NA
NA	NA	NA	1	POLR1B	179836	NA
NA	NA	NA	1	EYA3	601655	NA
NA	NA	NA	1	PTAFR	173393	NA
NA	NA	NA	1	ATP1F1,IF1	614981	NA
NA	NA	NA	1	SESN2	607767	NA
NA	NA	NA	1	MED18	612384	NA
NA	NA	NA	1	PHACTR4	608726	NA
NA	NA	NA	1	RCC1	179710	NA
NA	NA	NA	1	SNHG3	603238	NA
NA	NA	NA	1	SNORA73A	180645	in IVS1 of CHC1
NA	NA	NA	1	SNORA73B	603239	NA
NA	NA	NA	1	TAF12	600773	NA
NA	NA	NA	1	GMEB1	604409	NA
NA	NA	NA	1	YTHDF2	610640	fused with AML1 in t(1;21)
NA	NA	NA	1	OPRD1	165195	NA
Elliptocytosis-1	None	611804	1	EPB41	130500	NA
NA	NA	NA	1	SRSF4,SRp75	601940	NA
NA	NA	NA	1	MECR	608205	NA
NA	NA	NA	1	PTPRO,PTPRU	602454	NA
NA	NA	NA	1	MATN1	115437	NA
NA	NA	NA	1	LAPTM5	601476	NA
Obesity, association with	Multifactorial; Autosomal recessive; Autosomal dominant	601665	1	SDC3,SDCN	186357	NA
NA	NA	NA	1	PUM1	607204	NA
NA	NA	NA	1	NKAIN1	612871	NA
NA	NA	NA	1	SNRNP40	607797	NA
NA	NA	NA	1	FABP3	134651	NA
NA	NA	NA	1	SERINC2	614549	NA
NA	NA	NA	1	TINAGL1	616064	NA
NA	NA	NA	1	HCRTR1	602392	NA
NA	NA	NA	1	PEF1	610033	NA
NA	NA	NA	1	COL16A1	120326	NA
NA	NA	NA	1	BAI2	602683	NA
NA	NA	NA	1	PRL2,HH13,PTP4A2	601584	NA
NA	NA	NA	1	KHDRBS1,SAM68	602489	NA
NA	NA	NA	1	KPNA6	610563	NA
Bardet-Biedl syndrome 1, modifier of	Autosomal recessive; Digenic recessive	209900	1	CCDC28B	610162	NA
NA	NA	NA	1	EIF3I,PSMC5	603911	pseudogene on 7q32
?Immunodeficiency 22	Autosomal recessive	615758	1	LCK,IMD22	153390	LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient
NA	NA	NA	1	HDAC1	601241	NA
NA	NA	NA	1	MARCKSL1,CSRP3,ABCC1	602940	NA
NA	NA	NA	1	TSSK1B,TSSK3	607660	NA
NA	NA	NA	1	ZBTB8OS	615891	NA
NA	NA	NA	1	SYNC	611750	NA
Charcot-Marie-Tooth disease, dominant intermediate C	Autosomal dominant	608323	1	TYRRS,CMTDIC,YARS	603623	NA
NA	NA	NA	1	S100PBP	611889	NA
NA	NA	NA	1	FNDC5	611906	NA
Dystonia 2, torsion, autosomal recessive	Autosomal recessive	224500	1	CACNA1A,DYT2	142622	NA
NA	NA	NA	1	NKLAM,RNF19B	610872	NA
Reticular dysgenesis	Autosomal recessive	267500	1	AK2	103020	NA
NA	NA	NA	1	AZIN1,AZIN2	608353	NA
NA	NA	NA	1	CSMD2	608398	NA
Cataract 34, multiple types	None	612968	1	CTRCT34,CATC3	612968	between D1S2729 and D1S2890
Gallbladder disease 3	None	609919	1	GBD3	609919	new D2S255
Macrostomia	None	613545	1	MACST	613545	max lod at D1S2797
NA	NA	NA	1	GJB5	604493	NA
Erythrokeratodermia variabilis with erythema gyratum repens	Autosomal recessive; Autosomal dominant	133200	1	GJB4	605425	NA
Deafness, digenic, GJB2/GJB3	Autosomal recessive; Digenic dominant	220290	1	GJB3,DFNA2B	603324	same YAC as GJA4
Deafness, autosomal recessive	None	NA	1	GJB3,DFNA2B	603324	same YAC as GJA4
Deafness, autosomal dominant, with peripheral neuropathy	None	NA	1	GJB3,DFNA2B	603324	same YAC as GJA4
Deafness, autosomal dominant 2B	Autosomal dominant	612644	1	GJB3,DFNA2B	603324	same YAC as GJA4
Erythrokeratodermia variabilis et progressiva	Autosomal recessive; Autosomal dominant	133200	1	GJB3,DFNA2B	603324	same YAC as GJA4
NA	NA	NA	1	GJA4	121012	NA
NA	NA	NA	1	ZMYM6	613567	NA
NA	NA	NA	1	SFPQ,IGFBP7	605199	fusion gene with TFE3 in RCC
NA	NA	NA	1	ZMYM4	613568	NA
NA	NA	NA	1	KIAA0319L	613535	NA
NA	NA	NA	1	KIAA0607,NCDN	608458	NA
NA	NA	NA	1	TFAP2E	614428	NA
NA	NA	NA	1	PSMB2	602175	NA
NA	NA	NA	1	CLASPIN	605434	NA
NA	NA	NA	1	AGO4	607356	NA
NA	NA	NA	1	EIF2C,GERP95,AGO1	606228	NA
NA	NA	NA	1	AGO3	607355	NA
NA	NA	NA	1	ADPRHL2	610624	NA
Corneal dystrophy, posterior polymorphous 2	None	609140	1	COL8A2	120252	NA
Corneal dystrophy, Fuchs endothelial, 1	Autosomal dominant	136800	1	COL8A2	120252	NA
NA	NA	NA	1	TRAPPC3	610955	NA
NA	NA	NA	1	THRAP3	603809	NA
NA	NA	NA	1	SHIK,STK40	609437	NA
NA	NA	NA	1	NR4A3	608854	NA
NA	NA	NA	1	MRPS15	611979	NA
?Neutrophilia, hereditary	Autosomal dominant	162830	1	CSF3R	138971	mutation identified in 1 hereditary neutrophilia family
NA	NA	NA	1	GRIK3	138243	NA
NA	NA	NA	1	ZC3H12A,MCPIP	610562	NA
NA	NA	NA	1	MEAF6,EAF6	611001	NA
Psychomotor retardation, epilepsy, and craniofacial dysmorphism	Autosomal recessive	614501	1	SNIP1,PMRED	608241	NA
NA	NA	NA	1	DNALI1	602135	NA
NA	NA	NA	1	NGP1,GNL2	609365	NA
Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal	None	610644	1	RSPO1	609595	NA
